title,description,text,compound,sentiment
Throwbacks,,Throwbacks ,0.0,Neutral
Awesome Playlist,,Awesome Playlist ,0.6249,Positive
korean ,,korean  ,0.0,Neutral
mat,,mat ,0.0,Neutral
90s,,90s ,0.0,Neutral
Wedding,,Wedding ,0.0,Neutral
I Put A Spell On You,,I Put A Spell On You ,0.0,Neutral
2017,,2017 ,0.0,Neutral
BOP,,BOP ,0.0,Neutral
old country ,,old country  ,0.0,Neutral
abby ,,abby  ,0.0,Neutral
VIBE,,VIBE ,0.0,Neutral
relax,,relax ,0.4404,Positive
sleep,,sleep ,0.0,Neutral
90's ,,90's  ,0.0,Neutral
New Songs,,New Songs ,0.0,Neutral
slow hands,,slow hands ,0.0,Neutral
Mom's playlist,,Mom's playlist ,0.0,Neutral
SARAH,,SARAH ,0.0,Neutral
melancholy,,melancholy ,-0.4404,Negative
mixtape,,mixtape ,0.0,Neutral
Sad Songs,,Sad Songs ,-0.4767,Negative
fall '17,,fall '17 ,0.0,Neutral
âœ”ï¸,,âœ”ï¸ ,0.0,Neutral
Twenty one pilots,,Twenty one pilots ,0.0,Neutral
run it,,run it ,0.0,Neutral
Winter 2014,,Winter 2014 ,0.0,Neutral
smooth ,,smooth  ,0.0,Neutral
Yeet,,Yeet ,0.0,Neutral
groovy,,groovy ,0.0,Neutral
Garage Rock,,Garage Rock ,0.0,Neutral
Running 2.0,,Running 2.0 ,0.0,Neutral
acoustic,,acoustic ,0.0,Neutral
morning,,morning ,0.0,Neutral
good good,,good good ,0.7003,Positive
Good Vibes,,Good Vibes ,0.4404,Positive
 indie rock,, indie rock ,0.0,Neutral
Hits,,Hits ,0.0,Neutral
tb,,tb ,0.0,Neutral
Country,,Country ,0.0,Neutral
2020,,2020 ,0.0,Neutral
Belters,,Belters ,0.0,Neutral
Road Trippin',,Road Trippin' ,0.0,Neutral
Country,,Country ,0.0,Neutral
taylor swift,,taylor swift ,0.2023,Positive
angst,,angst ,0.0,Neutral
Running 2,,Running 2 ,0.0,Neutral
Spring 2016,,Spring 2016 ,0.0,Neutral
Country,,Country ,0.0,Neutral
Gospel,,Gospel ,0.0,Neutral
SB,,SB ,0.0,Neutral
Kevin,,Kevin ,0.0,Neutral
Christmas,,Christmas ,0.0,Neutral
NB,,NB ,0.0,Neutral
Smooth Jazz,,Smooth Jazz ,0.0,Neutral
Tennessee ,,Tennessee  ,0.0,Neutral
funky,,funky ,-0.1027,Negative
spring 16,,spring 16 ,0.0,Neutral
Gates,,Gates ,0.0,Neutral
Favorite Songs,,Favorite Songs ,0.4588,Positive
Ski,,Ski ,0.0,Neutral
Country,,Country ,0.0,Neutral
hype,,hype ,0.0,Neutral
Awesome Mix,,Awesome Mix ,0.6249,Positive
Elizabeth,,Elizabeth ,0.0,Neutral
PlayStation,,PlayStation ,0.0,Neutral
Ashley,,Ashley ,0.0,Neutral
chill,,chill ,0.0,Neutral
xx,,xx ,0.0,Neutral
art class,,art class ,0.0,Neutral
Random Tunes,,Random Tunes ,0.0,Neutral
boat,,boat ,0.0,Neutral
spanish jams,,spanish jams ,0.0,Neutral
new,,new ,0.0,Neutral
CR,,CR ,0.0,Neutral
Run!!,,Run!! ,0.0,Neutral
winter '17,,winter '17 ,0.0,Neutral
Workout,,Workout ,0.0,Neutral
Traps ,,Traps  ,0.0,Neutral
Dope,,Dope ,0.0,Neutral
Chill,,Chill ,0.0,Neutral
rap,,rap ,0.0,Neutral
Gospel,,Gospel ,0.0,Neutral
Florida,,Florida ,0.0,Neutral
Workout2,,Workout2 ,0.0,Neutral
Gym,,Gym ,0.0,Neutral
Zoned,,Zoned ,0.0,Neutral
relax,,relax ,0.4404,Positive
KPOP,,KPOP ,0.0,Neutral
80's,,80's ,0.0,Neutral
For the Road,,For the Road ,0.0,Neutral
R & B,,R & B ,0.0,Neutral
Tom Petty,,Tom Petty ,-0.2023,Negative
Catchy Songs,,Catchy Songs ,0.0,Neutral
relax,chilllll out,relax chilllll out,0.4404,Positive
roadtrippin,,roadtrippin ,0.0,Neutral
christmas,,christmas ,0.0,Neutral
2012,,2012 ,0.0,Neutral
Dave,,Dave ,0.0,Neutral
bang bang. ,,bang bang.  ,0.0,Neutral
Disneyland,,Disneyland ,0.0,Neutral
#boostyourrun,,#boostyourrun ,0.0,Neutral
LUV,uzi,LUV uzi,0.0,Neutral
latin,,latin ,0.0,Neutral
JAMS,,JAMS ,0.0,Neutral
~Rando~,,~Rando~ ,0.0,Neutral
Party Rock!!,,Party Rock!! ,0.508,Positive
party people,,party people ,0.4019,Positive
The Piano Guys,,The Piano Guys ,0.0,Neutral
Worship,,Worship ,0.296,Positive
Brasileiras,,Brasileiras ,0.0,Neutral
country,,country ,0.0,Neutral
4/20,,4/20 ,0.0,Neutral
2016,,2016 ,0.0,Neutral
Willie,,Willie ,0.0,Neutral
beach,,beach ,0.0,Neutral
Gold Digger,,Gold Digger ,0.0,Neutral
Fall 2015,,Fall 2015 ,0.0,Neutral
dance it out,,dance it out ,0.0,Neutral
greek,,greek ,0.0,Neutral
All the songs,,All the songs ,0.0,Neutral
Kyle,,Kyle ,0.0,Neutral
HALLOWEEN,,HALLOWEEN ,0.0,Neutral
w o r k o u t,,w o r k o u t ,0.0,Neutral
party music,,party music ,0.4019,Positive
summer,,summer ,0.0,Neutral
XXXMas,,XXXMas ,0.0,Neutral
BBG,,BBG ,0.0,Neutral
bae,,bae ,0.0,Neutral
oldies,,oldies ,0.0,Neutral
its lit,,its lit ,0.0,Neutral
go to,,go to ,0.0,Neutral
Killin' It,,Killin' It ,0.0,Neutral
October 2017,,October 2017 ,0.0,Neutral
Rap/Pop,,Rap/Pop ,0.0,Neutral
1990's ,,1990's  ,0.0,Neutral
Rap,,Rap ,0.0,Neutral
GUACAMOLE,,GUACAMOLE ,0.0,Neutral
14,,14 ,0.0,Neutral
That New New,,That New New ,0.0,Neutral
Relaxing,,Relaxing ,0.4939,Positive
sleep,,sleep ,0.0,Neutral
Get It!,,Get It! ,0.0,Neutral
bumps,,bumps ,0.0,Neutral
picks,,picks ,0.0,Neutral
ğŸ¤˜ğŸ¼,,ğŸ¤˜ğŸ¼ ,0.0,Neutral
Mashup,,Mashup ,0.0,Neutral
Ladies,,Ladies ,0.0,Neutral
Alt Jams,,Alt Jams ,0.0,Neutral
Reggae/Ska,,Reggae/Ska ,0.0,Neutral
Top hits,,Top hits ,0.2023,Positive
jazzy ,,jazzy  ,0.0,Neutral
Pop,,Pop ,0.0,Neutral
Emotional,,Emotional ,0.1531,Positive
Fall,,Fall ,0.0,Neutral
ouch,,ouch ,0.0,Neutral
Love Music,,Love Music ,0.6369,Positive
Bang Bang ,,Bang Bang  ,0.0,Neutral
Solitude,,Solitude ,0.0,Neutral
feels,,feels ,0.0,Neutral
Silence,,Silence ,0.0,Neutral
English ,,English  ,0.0,Neutral
Blues,,Blues ,0.0,Neutral
pump,,pump ,0.0,Neutral
volleyball playlist ,,volleyball playlist  ,0.0,Neutral
september ,,september  ,0.0,Neutral
motown,,motown ,0.0,Neutral
folky,,folky ,0.0,Neutral
Rock alternativo,,Rock alternativo ,0.0,Neutral
Summer Chill,,Summer Chill ,0.0,Neutral
Rap Classics,,Rap Classics ,0.0,Neutral
My favs,,My favs ,0.0,Neutral
motivational ,,motivational  ,0.0,Neutral
Up Beat,,Up Beat ,0.0,Neutral
Wes Anderson,,Wes Anderson ,0.0,Neutral
Love,,Love ,0.6369,Positive
basic,,basic ,0.0,Neutral
Another,,Another ,0.0,Neutral
LIT!!!!!!!,,LIT!!!!!!! ,0.0,Neutral
YEET,,YEET ,0.0,Neutral
ğŸ¤¤ğŸ¤¤,,ğŸ¤¤ğŸ¤¤ ,0.0,Neutral
Summer Playlist,,Summer Playlist ,0.0,Neutral
high,,high ,0.0,Neutral
Music,,Music ,0.0,Neutral
Chill Alternative,,Chill Alternative ,0.0,Neutral
feelz,,feelz ,0.0,Neutral
Alexia,,Alexia ,0.0,Neutral
Mellow.,,Mellow. ,0.0,Neutral
Britt,,Britt ,0.0,Neutral
Christian Songs,,Christian Songs ,0.0,Neutral
Kendrick Lamar ,,Kendrick Lamar  ,0.0,Neutral
jesus jams,,jesus jams ,0.0,Neutral
Daddy Issues,,Daddy Issues ,0.0,Neutral
ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥,,ğŸ”¥ğŸ”¥ğŸ”¥ğŸ”¥ ,-0.8225,Negative
sb2k17,,sb2k17 ,0.0,Neutral
Dance,,Dance ,0.0,Neutral
2013,,2013 ,0.0,Neutral
Spring16,,Spring16 ,0.0,Neutral
soul,,soul ,0.0,Neutral
Best Songs of 2016,,Best Songs of 2016 ,0.6369,Positive
Ladies,,Ladies ,0.0,Neutral
Love ,,Love  ,0.6369,Positive
Cash,,Cash ,0.0,Neutral
#Workout,,#Workout ,0.0,Neutral
guitar.,,guitar. ,0.0,Neutral
running ,,running  ,0.0,Neutral
Shower,,Shower ,0.0,Neutral
Saturn,,Saturn ,0.0,Neutral
Christmas music,,Christmas music ,0.0,Neutral
Bus playlist,,Bus playlist ,0.0,Neutral
Xmas,,Xmas ,0.0,Neutral
My music,,My music ,0.0,Neutral
Latino,,Latino ,0.0,Neutral
Mumford & Sons,,Mumford & Sons ,0.0,Neutral
This Is What You Came For,,This Is What You Came For ,0.0,Neutral
On the Run,,On the Run ,0.0,Neutral
Prayer,,Prayer ,0.0,Neutral
my country,,my country ,0.0,Neutral
party playlist,,party playlist ,0.4019,Positive
Funky,,Funky ,-0.1027,Negative
Musicals,,Musicals ,0.0,Neutral
Relax,,Relax ,0.4404,Positive
Wedding,,Wedding ,0.0,Neutral
classics,,classics ,0.0,Neutral
Peace,,Peace ,0.5423,Positive
Volleyball,,Volleyball ,0.0,Neutral
Madness,,Madness ,-0.4404,Negative
ride,,ride ,0.0,Neutral
before my time,,before my time ,0.0,Neutral
reggae,,reggae ,0.0,Neutral
Summer of love,,Summer of love ,0.6369,Positive
Everything,,Everything ,0.0,Neutral
Hits,,Hits ,0.0,Neutral
shower ,,shower  ,0.0,Neutral
RUNNIN,,RUNNIN ,0.0,Neutral
My happy place,,My happy place ,0.5719,Positive
90s hits,,90s hits ,0.0,Neutral
Old songs,,Old songs ,0.0,Neutral
Korean,,Korean ,0.0,Neutral
Go to ,,Go to  ,0.0,Neutral
Way Up,,Way Up ,0.0,Neutral
Tegan and Sara,,Tegan and Sara ,0.0,Neutral
Atlas,,Atlas ,0.0,Neutral
Elisa,,Elisa ,0.0,Neutral
Country,,Country ,0.0,Neutral
90s,,90s ,0.0,Neutral
eurotrip,,eurotrip ,0.0,Neutral
Mine,,Mine ,0.0,Neutral
Christmas 2016,,Christmas 2016 ,0.0,Neutral
Summer,,Summer ,0.0,Neutral
TBT,,TBT ,0.0,Neutral
beachy,,beachy ,0.0,Neutral
country,,country ,0.0,Neutral
Drank,,Drank ,0.0,Neutral
Trip,,Trip ,0.0,Neutral
Christmas Mix,,Christmas Mix ,0.0,Neutral
TOP,,TOP ,0.2023,Positive
rap god,,rap god ,0.2732,Positive
#Relaxed,,#Relaxed ,0.4939,Positive
blue grass,,blue grass ,0.0,Neutral
brad paisley ,,brad paisley  ,0.0,Neutral
summer16,,summer16 ,0.0,Neutral
throwback,,throwback ,0.0,Neutral
love,,love ,0.6369,Positive
DA,,DA ,0.0,Neutral
SUMMER 2k17,,SUMMER 2k17 ,0.0,Neutral
Awesome mix vol. 1,,Awesome mix vol. 1 ,0.6249,Positive
POP,,POP ,0.0,Neutral
Road Trip Mix,,Road Trip Mix ,0.0,Neutral
Indie,,Indie ,0.0,Neutral
Corridos,,Corridos ,0.0,Neutral
Mr. Brightside,,Mr. Brightside ,0.0,Neutral
shower,,shower ,0.0,Neutral
workout,,workout ,0.0,Neutral
old people,,old people ,0.0,Neutral
FUN,,FUN ,0.5106,Positive
ğŸ˜ğŸ˜,,ğŸ˜ğŸ˜ ,0.7184,Positive
Hockey,,Hockey ,0.0,Neutral
dank memes,,dank memes ,0.0,Neutral
ğŸµğŸµ,,ğŸµğŸµ ,0.0,Neutral
Legendary,,Legendary ,0.0,Neutral
mayer,,mayer ,0.0,Neutral
Game Time,,Game Time ,0.0,Neutral
car tunes,,car tunes ,0.0,Neutral
lit,,lit ,0.0,Neutral
wrap,,wrap ,0.0,Neutral
Chris,,Chris ,0.0,Neutral
chill beats,,chill beats ,0.0,Neutral
kpop,,kpop ,0.0,Neutral
mix,,mix ,0.0,Neutral
Blackout,,Blackout ,0.0,Neutral
country ,,country  ,0.0,Neutral
Disney,,Disney ,0.0,Neutral
CHRISTMASSSSS,,CHRISTMASSSSS ,0.0,Neutral
Aux,,Aux ,0.0,Neutral
best christmas,,best christmas ,0.6369,Positive
Worship ,,Worship  ,0.296,Positive
broadway,,broadway ,0.0,Neutral
Vibe,,Vibe ,0.0,Neutral
Say My Name,,Say My Name ,0.0,Neutral
car playlist,,car playlist ,0.0,Neutral
Music From Baz Luhrmann's Film The Great Gatsby,,Music From Baz Luhrmann's Film The Great Gatsby ,0.6249,Positive
deep,,deep ,0.0,Neutral
Tame Impala,,Tame Impala ,0.0,Neutral
<3,,<3 ,0.4404,Positive
Running,,Running ,0.0,Neutral
mixtape,,mixtape ,0.0,Neutral
rawr,,rawr ,0.0,Neutral
lit songs ,,lit songs  ,0.0,Neutral
upbeat,,upbeat ,0.0,Neutral
Good Day,,Good Day ,0.4404,Positive
AAA,,AAA ,0.0,Neutral
Line Dances ,,Line Dances  ,0.0,Neutral
Spanish,,Spanish ,0.0,Neutral
randoms,,randoms ,0.0,Neutral
Alright,,Alright ,0.25,Positive
Feelin' Myself,,Feelin' Myself ,0.0,Neutral
RAP,,RAP ,0.0,Neutral
Covers,,Covers ,0.0,Neutral
Acoustic,,Acoustic ,0.0,Neutral
chill,sit back and chill,chill sit back and chill,0.0,Neutral
bruno mars,,bruno mars ,0.0,Neutral
stream,,stream ,0.0,Neutral
mix ,,mix  ,0.0,Neutral
Me Like,,Me Like ,0.3612,Positive
Disney Jams,,Disney Jams ,0.0,Neutral
family,,family ,0.0,Neutral
Walking on Sunshine,,Walking on Sunshine ,0.4939,Positive
country,,country ,0.0,Neutral
trap,el espanish trap.,trap el espanish trap.,-0.5574,Negative
electronic,,electronic ,0.0,Neutral
The Drive,,The Drive ,0.0,Neutral
Julion alvarez,,Julion alvarez ,0.0,Neutral
studying music,,studying music ,0.0,Neutral
90s alternative,,90s alternative ,0.0,Neutral
Litty ,,Litty  ,0.0,Neutral
oldies but goodies ,,oldies but goodies  ,0.0,Neutral
More Songs,,More Songs ,0.0,Neutral
((chris)),,((chris)) ,0.0,Neutral
Worship,roasty toasty in the holy ghosty,Worship roasty toasty in the holy ghosty,0.296,Positive
ğŸ‡²ğŸ‡½ğŸ‡²ğŸ‡½ğŸ‡²ğŸ‡½,,ğŸ‡²ğŸ‡½ğŸ‡²ğŸ‡½ğŸ‡²ğŸ‡½ ,0.0,Neutral
( Í¡Â° ÍœÊ– Í¡Â°),,( Í¡Â° ÍœÊ– Í¡Â°) ,0.0,Neutral
Dance mix,,Dance mix ,0.0,Neutral
classic ,,classic  ,0.0,Neutral
oldies,,oldies ,0.0,Neutral
NEW,,NEW ,0.0,Neutral
Chill music ,,Chill music  ,0.0,Neutral
karaoke.,,karaoke. ,0.0,Neutral
âš¡ï¸âš¡ï¸âš¡ï¸,,âš¡ï¸âš¡ï¸âš¡ï¸ ,0.0,Neutral
Road,,Road ,0.0,Neutral
Latin Trap,,Latin Trap ,-0.3182,Negative
Cali,,Cali ,0.0,Neutral
frenchy,,frenchy ,0.0,Neutral
Thinking,Always thinking...,Thinking Always thinking...,0.0,Neutral
Cruisin,What I listen to crusing on my motorcycle,Cruisin What I listen to crusing on my motorcycle,0.0,Neutral
throw backs,,throw backs ,-0.0516,Negative
2017,,2017 ,0.0,Neutral
boris,,boris ,0.0,Neutral
Meow,,Meow ,0.0,Neutral
old songs ,,old songs  ,0.0,Neutral
pg,,pg ,0.0,Neutral
Breezeblocks,,Breezeblocks ,0.0,Neutral
Favorite Songs,,Favorite Songs ,0.4588,Positive
Classic Rock,,Classic Rock ,0.0,Neutral
Pregame,,Pregame ,0.0,Neutral
Chill Rock,,Chill Rock ,0.0,Neutral
High,,High ,0.0,Neutral
Guilty pleasure,,Guilty pleasure ,0.2263,Positive
Everyday,,Everyday ,0.0,Neutral
Salsa clasica,,Salsa clasica ,0.0,Neutral
CHRISTMAS,merry chrysler,CHRISTMAS merry chrysler,0.5423,Positive
quiet,,quiet ,0.0,Neutral
TRIPPIn,,TRIPPIn ,0.0,Neutral
happy,,happy ,0.5719,Positive
oldies,,oldies ,0.0,Neutral
Chill,,Chill ,0.0,Neutral
Studying,,Studying ,0.0,Neutral
Classic,,Classic ,0.0,Neutral
country,,country ,0.0,Neutral
Autumnal ,,Autumnal  ,0.0,Neutral
Throwbacks ,,Throwbacks  ,0.0,Neutral
Traveling,,Traveling ,0.0,Neutral
spin,,spin ,0.0,Neutral
country 2017,,country 2017 ,0.0,Neutral
*** good stuff,,*** good stuff ,0.4404,Positive
LM,,LM ,0.0,Neutral
Chill,,Chill ,0.0,Neutral
sad,,sad ,-0.4767,Negative
Party time,,Party time ,0.4019,Positive
mb,,mb ,0.0,Neutral
Samba,,Samba ,0.0,Neutral
tears.,,tears. ,-0.2263,Negative
Go To,,Go To ,0.0,Neutral
Friday afternoon...,,Friday afternoon... ,0.0,Neutral
songs that make me think of you ,,songs that make me think of you  ,0.0,Neutral
Congratulations,,Congratulations ,0.5994,Positive
Party,,Party ,0.4019,Positive
Random,,Random ,0.0,Neutral
Comedy,,Comedy ,0.3612,Positive
RAVE,,RAVE ,0.0,Neutral
summer 2015,,summer 2015 ,0.0,Neutral
GET DOWN,,GET DOWN ,0.0,Neutral
JAZZ,,JAZZ ,0.0,Neutral
Hype,,Hype ,0.0,Neutral
âš¡ï¸,,âš¡ï¸ ,0.0,Neutral
in my feels,,in my feels ,0.0,Neutral
90's,,90's ,0.0,Neutral
Piano Music,,Piano Music ,0.0,Neutral
workout mix,,workout mix ,0.0,Neutral
90s hip hop,,90s hip hop ,0.0,Neutral
Metal,,Metal ,0.0,Neutral
ashley,,ashley ,0.0,Neutral
Country,,Country ,0.0,Neutral
Sweat.It.Out.,,Sweat.It.Out. ,0.0,Neutral
early 2000's,,early 2000's ,0.0,Neutral
Get pumped ,,Get pumped  ,0.0,Neutral
West Coast Swing,,West Coast Swing ,0.0,Neutral
Rock,,Rock ,0.0,Neutral
june,,june ,0.0,Neutral
Roadtrip,,Roadtrip ,0.0,Neutral
Smooth,,Smooth ,0.0,Neutral
1967,,1967 ,0.0,Neutral
Old School,,Old School ,0.0,Neutral
New,,New ,0.0,Neutral
WORSHIP,,WORSHIP ,0.296,Positive
Phone,,Phone ,0.0,Neutral
yo,,yo ,0.0,Neutral
PT,,PT ,0.0,Neutral
car rides,,car rides ,0.0,Neutral
Music.,,Music. ,0.0,Neutral
Rent,,Rent ,0.0,Neutral
Feels,,Feels ,0.0,Neutral
goldie,,goldie ,0.0,Neutral
Sad songs,,Sad songs ,-0.4767,Negative
DIEGO$,,DIEGO$ ,0.0,Neutral
New years,,New years ,0.0,Neutral
Driving,,Driving ,0.0,Neutral
April,,April ,0.0,Neutral
OD,,OD ,0.0,Neutral
housewarming,,housewarming ,0.0,Neutral
car,,car ,0.0,Neutral
chill out,,chill out ,0.0,Neutral
rap mix,,rap mix ,0.0,Neutral
Kickin it,,Kickin it ,0.0,Neutral
Chill Out,,Chill Out ,0.0,Neutral
90s baby,,90s baby ,0.0,Neutral
Oldies,,Oldies ,0.0,Neutral
Classical,,Classical ,0.0,Neutral
My favorites,,My favorites ,0.4215,Positive
Hyphy,,Hyphy ,0.0,Neutral
Pump up songs,,Pump up songs ,0.0,Neutral
Beautiful Things,,Beautiful Things ,0.5994,Positive
dance,,dance ,0.0,Neutral
my heart,,my heart ,0.6369,Positive
issa playlist,,issa playlist ,0.0,Neutral
Party,,Party ,0.4019,Positive
Country,,Country ,0.0,Neutral
roma,,roma ,0.0,Neutral
Intro,,Intro ,0.0,Neutral
Dusk,,Dusk ,0.0,Neutral
slow,,slow ,0.0,Neutral
BUST A MOVE,,BUST A MOVE ,0.0,Neutral
Current jams,,Current jams ,0.0,Neutral
Fallout,,Fallout ,0.0,Neutral
2017,,2017 ,0.0,Neutral
Punk,,Punk ,0.0,Neutral
Homework,,Homework ,0.0,Neutral
000,,000 ,0.0,Neutral
Good Times,,Good Times ,0.4404,Positive
new stuff,,new stuff ,0.0,Neutral
It's Christmas Time!,,It's Christmas Time! ,0.0,Neutral
AA,,AA ,0.0,Neutral
Chill Sesh,,Chill Sesh ,0.0,Neutral
SPRANG,,SPRANG ,0.0,Neutral
Greatest Hits,,Greatest Hits ,0.6369,Positive
elevator music,sad,elevator music sad,-0.4767,Negative
YOU,,YOU ,0.0,Neutral
Reggaeton,,Reggaeton ,0.0,Neutral
Long Car Rides,,Long Car Rides ,0.0,Neutral
Country favorites,,Country favorites ,0.4215,Positive
Chill Out Music,,Chill Out Music ,0.0,Neutral
Good songs,,Good songs ,0.4404,Positive
hip hop,,hip hop ,0.0,Neutral
vibes,,vibes ,0.0,Neutral
INDY,,INDY ,0.0,Neutral
90's,,90's ,0.0,Neutral
ODESZA,,ODESZA ,0.0,Neutral
Good stuff,,Good stuff ,0.4404,Positive
CHRISTMAS MUSIC,,CHRISTMAS MUSIC ,0.0,Neutral
Isis,,Isis ,0.0,Neutral
My baby,,My baby ,0.0,Neutral
Melting Pot,A little bit of everything,Melting Pot A little bit of everything,0.0,Neutral
Eminem ,,Eminem  ,0.0,Neutral
Zombies,,Zombies ,0.0,Neutral
Mega Chill,,Mega Chill ,0.0,Neutral
OOOUUU,,OOOUUU ,0.0,Neutral
songs to sing in the shower,,songs to sing in the shower ,0.0,Neutral
Narcos,,Narcos ,0.0,Neutral
modern rock,,modern rock ,0.0,Neutral
Wedding Dance Party,,Wedding Dance Party ,0.4019,Positive
oldies,,oldies ,0.0,Neutral
regaton ,,regaton  ,0.0,Neutral
tbd,,tbd ,0.0,Neutral
Instrumental,,Instrumental ,0.0,Neutral
